game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25
2025-11-07,8471817,R. Reaves,R,-0.5,43341.094,17118.602,21105.572,67826.04,0.984,0.984,0.984,0.984
2025-11-07,8473422,N. Foligno,L,4.1,317.3801,62.82814,235.98369,410.3459,1.0,1.0,1.0,1.0
2025-11-07,8473604,J. Toews,C,5.1,1872.7589,367.4891,1391.2499,2333.7407,1.0,1.0,1.0,1.0
2025-11-07,8474037,J. van Riemsdyk,L,1.3,67781.53,26769.182,32280.918,99372.71,0.992,0.992,0.992,0.992
2025-11-07,8474141,P. Kane,R,11.5,67793.83,26772.88,33503.19,102544.86,0.998,0.998,0.998,0.998
2025-11-07,8474150,M. Backlund,C,6.8,43352.59,17120.875,23183.354,65769.445,0.998,0.998,0.998,0.998
2025-11-07,8474568,L. Schenn,D,2.6,1870.4348,366.74515,1439.4264,2360.9102,1.0,1.0,1.0,1.0
2025-11-07,8474612,T. Hamonic,D,-0.5,67779.35,26769.268,33626.426,103972.68,0.992,0.992,0.992,0.992
2025-11-07,8474716,J. Spurgeon,D,8.9,2084.0447,409.38675,1581.306,2624.5234,1.0,1.0,1.0,1.0
2025-11-07,8475149,M. Johansson,L,7.5,2086.0005,409.33667,1591.9222,2618.066,1.0,1.0,1.0,1.0
2025-11-07,8475151,K. Palmieri,C,3.5,212.53893,42.666492,157.31116,266.67682,1.0,1.0,1.0,1.0
2025-11-07,8475172,N. Kadri,C,4.0,43356.863,17121.895,21458.568,64932.2,0.994,0.994,0.994,0.994
2025-11-07,8475200,D. Orlov,D,4.6,43349.363,17120.11,22357.78,67051.48,0.996,0.996,0.996,0.996
2025-11-07,8475220,M. Foligno,L,7.0,2084.2642,408.7603,1541.8219,2623.0178,1.0,1.0,1.0,1.0
2025-11-07,8475231,C. Cizikas,C,8.9,211.96347,42.20833,159.85298,263.68723,1.0,1.0,1.0,1.0
2025-11-07,8475279,B. Chiarot,D,3.6,67785.01,26771.62,32680.422,101745.17,0.996,0.996,0.996,0.996
2025-11-07,8475314,A. Lee,L,7.5,212.7635,43.451706,157.5072,268.25195,1.0,1.0,1.0,1.0
2025-11-07,8475692,M. Zuccarello,R,6.0,2083.0305,408.00552,1565.404,2546.323,1.0,1.0,1.0,1.0
2025-11-07,8475726,T. Toffoli,C,5.5,43358.836,17123.309,21489.965,65167.805,0.994,0.994,0.994,0.994
2025-11-07,8475765,V. Tarasenko,R,7.3,2085.4348,409.21387,1544.0088,2585.1804,1.0,1.0,1.0,1.0
2025-11-07,8475784,J. Skinner,L,2.8,43346.867,17119.873,20483.96,65208.15,0.988,0.988,0.988,0.988
2025-11-07,8475799,N. Niederreiter,R,9.8,1872.932,367.47006,1346.1373,2353.0198,1.0,1.0,1.0,1.0
2025-11-07,8475842,S. Carrick,C,0.0,2860.9685,560.80927,2152.625,3544.262,1.0,1.0,1.0,1.0
2025-11-07,8475906,J. Klingberg,D,2.3,43349.965,17120.156,22014.54,68972.33,1.0,1.0,1.0,1.0
2025-11-07,8476331,D. DeMelo,D,8.4,1871.86,368.17862,1414.2565,2362.1467,1.0,1.0,1.0,1.0
